"ID","Title","Description","Join_Date","View_Count","Video_Count","Subscriber_Count","Is_Subcriber_Count_Hidden","Omitted"
"UCNYlvlreZiRRHo_v5Nmrfow","Sailing Zatara","As my husband and I entered our mid-40s, we realized we were completely exhausted with corporate America and the effect it was having on our marriage and our kids. Something definitely had to change.

So, we saved some cash, gathered our four kids and, regardless of having no prior sailing experience, sold our suburban Texas home and bought a sailboat. 

Since the beginning of this crazy impromptu adventure in late 2016, we have now sailed over 30,000 nautical miles: the first year in a monohull (Beneteau 55’), the rest in a catamaran (Privilege 585). 

It's not our goal in these videos to be politically correct or make every viewer happy; nor is it to flaunt our obviously gorgeous and toned figures (not). We want to share honestly what we are experiencing on this adventure and how we are evolving as a family. We simply hope you laugh, learn, ponder, and get inspired. All videos will be basically rated TV-14.

Happy Sailing!
Renee & the Z-Crew",2016-06-14,71207887,282,412000,FALSE,FALSE
"UCZdQjaSoLjIzFnWsDQOv4ww","Sailing La Vagabonde","We are an Australian couple with the dream of circumnavigating the globe by sail boat… initially having no clue of how to sail. We have now sailed over 90,000nm each across many oceans. Through our videos we hope to inspire others to explore alternative options of living and to spread ocean awareness. With YOUR support we can keep these movies coming every Monday/Tuesday (depending on your timezone)

You can support us by: 

Becoming a Patron - YOU are making these videos possible
https://patreon.com/LaVagabonde

Making a donation towards our video production through the PayPal link on our website or even purchasing our Sailing La Vagabonde merchandise:
http://sailing-lavagabonde.com/

Business Enquiries:
http://sailing-lavagabonde.com/contact

FAQ
What products do we use?
https://shop-lavagabonde.com/collections/products-we-use
Where can you find our Sailing guide? 
https://sailing-lavagabonde.com/guide",2014-10-25,347362243,480,1700000,FALSE,FALSE
"UCyzqPMlX1wkjQNbc-HOV6kQ","Sailing sv Blaatunge","Just a look inside my sailing life, on s/v Blaatunge of Rudkøbing, Denmark. Starting in the easter 2012, when i got hand on the ship.
The plan is to sell my house and other stuff, then go sailing.",2012-10-10,210432,138,535,FALSE,FALSE
"UCsRWGuaU92Xmxm5Ve3wYdPQ","Sailing SV Lukim Yu","We are Susan & Peter and welcome to SV Lukim Yu. We are a sailing couple who loves the cruising life. Follow us as we set sail on our Seawind 1160 sailing catamaran.

Hit that SUBSCRIBE button and we'll see you in the comments!",2017-01-18,1655,16,49,FALSE,FALSE
"UCpnuWBGpQp-SWgtGsKGBoFA","SV Adventurer","We sold everything, quit our jobs, and on May 31, 2014 left for good.  We have our sites set on everything and nothing.  We are planning on seeing the world, one country at a time.  Follow along with Brenda (the captain) and Jeff (the cabin boy and maintenance monkey) as we sail our 1982 Cooper 416 in our journey to see the world.  

Thanks for subscribing!

For more info on where we've been and things we've done so far, check out our blog at www.svadventurer.blogspot.com

""Like"" us on Facebook at www.facebook.com/svadventurer

""Follow"" us on Instagram at www.instagram.com/svadventurer",2016-04-23,1517544,212,13400,FALSE,FALSE
"UCNMZT5x5hLTLSLGzgOwZKpw","Sailing SV BettySue","Sailing our Mac26x around the U.S. West Coast with plans to eventually buy a bluewater boat and sail the world!! And partying like crazy people along the way 🎉⛵️🥂🎊👙

",2021-06-15,3124,3,86,FALSE,FALSE
"UCXEjpiYKr-hCbtqwC8RXwtg","Sailing Catalpa","We are a family of 4 that packed up our life on the Gold Coast in Australia, Sold everything to live our dream and sail the world in 2016. We may not have much in the way of the things but we are living now sailing full time in South East Asia. Follow us as we document our adventures good times and bad and what it’s like for a family living on a sailing boat. We hope that our weekly videos make you smile and inspire you to live your wildest dreams.


Facebook 
https://www.facebook.com/sailingcatalpa/

Instagram
https://www.instagram.com/sailingcatalpa/

Website 
https://www.sailingcatalpa.com

Our Channel is supported by our Patrons you can Check out our Patreon Page to see more and become a patron.
https://www.patreon.com/sailingcatalpa

The Catalpa Crew",2016-09-03,5562168,311,33600,FALSE,FALSE
"UCwVBc3YzxbJjTJVrlL77MrQ","Sailing Zingaro","After shipwrecking in a storm 100nm off the coast of Hawaii, Captain James is at it again! This time on a HUGE, very heavily-built monohull. He has gone where no other Sailing YouTuber has been (Easter Island, Pitcairn, Fanning Island, Makatea) and plans to round cape horn with the new yacht. James loves to teach, and has a natural easy-to-understand style. Currently documenting live-aboard life during the refit of the Oyster 485. 



",2016-10-15,22781285,232,122000,FALSE,FALSE
"UChRSBPh_k0Xh76vV4DdSROA","Sailing SV SaultLife","Hello everyone Welcome to our YouTube channel. come Join us as we learn to sail our boat become our home.   It's a story of 3 people living their lives in an alternate way, Watch as we develop  a close connection with our beautiful and amazing planet that we call home. We are  hoping that others may find inspiration to follow their dreams and do what they love.",2018-11-03,1708,17,31,FALSE,FALSE
"UCREn7mlyOOoB52lrdH6COGg","Sailing Avocet","Hello! We are Chris and Marissa Neely, the crew of S/V Avocet. We bought Avocet in 2018 as newly weds, fresh out of college with a small budget and a dream to explore beyond the horizon inspired by our new-to-us floating home. Ever since, we have been working hard everyday to make our dreams come true! This channel shares the details of our renovations, redesigns, and refits while we simultaneously juggle our respective media businesses offscreen; boats aren't cheap you know! 

Join us on our adventure as we prepare to sail the world aboard our Cheoy Lee 41 as husband, wife and cat! 

For recent info and details on our wherabouts, check out our blog: www.svavocet.com



-------------------------------------------------------------------------------------------------
This channel is a participant in the Amazon Affiliate Program. Help us earn a little money at no cost to you, just by clicking on one of our Amazon links before you check out. Thanks!",2018-08-14,573421,46,16300,FALSE,FALSE
"UC45cCZXGWIWmd94XpJt6Mrw","Sailing SV Cordelia","We are a middle age couple who have given up our jobs to carry out our dream of cruising.  We're down-to-earth, no-frills and sailing on a budget. We love seeing new places, meeting new people, making new memories and most of all sharing all these with you.  

",2019-02-07,41295,73,1050,FALSE,FALSE
"UCv03cbgqc5miFRTl4exSPiw","Sailing Dauntless","We are family living out our dreams of traveling and seeing as much of the world as we can. We hope to inspire and inform our viewers while entertaining them with our goofy personalities and family dynamic.",2020-03-04,1722901,78,23600,FALSE,FALSE
"UCr9pCaMpbVNa6OHC4We2nTA","Sailing Vessel Prism","These are the adventures of SV Prism. Follow the the crew, Shannon and Jon as they sail their Hans Christian 33 sailboat to Mexico and beyond!  We are a few years behind in uploading the videos, but we have been filming all our adventures from Mexico, down the west coast of Central America, through the Panama Canal and up the east coast of the US. The videos will start up again very soon. Thanks for watching and please subscribe! Check out our Prelude video to get caught up with how this adventure started.  Be sure to follow us on Instagram and Facebook for daily posts. Visit www.svprism.com to check out the latest from SV Prism. Fair Winds and Following Seas!",2015-10-28,2842782,45,25800,FALSE,FALSE
"UCfal0V7q0O09LaAade26IiA","Sailing SV Pegasus","We are a family of four living on the beautiful Northern Beaches of Sydney, Australia. 

Our dream is to sail near and far on our Schionning Wilderness 1100. Join us on our journey!
",2021-02-21,11149,20,177,FALSE,FALSE
"UCEIGLP7QC13sk-YLza8sXpQ","Sailing SV Jackson","🇬🇧 & 🇺🇸, A Dog named Mr Pants 🐕 & A Sailboat named Jack'son ⚓️ Destination: 2017 Florida, Bahamas to Nova Scotia. IG: SailingSVJackson",2017-02-20,800,6,26,FALSE,FALSE
"UCHUA6GIyYkJ4j7XRn961R5g","Sailing SV Star","Welcome aboard Star! Allow us to introduce ourselves as her stewards and crew-Liam, Meghan  and our chihuahua, DinahMyte.  Star is a Herreshoff Marco Polo, of which there are less than ten afloat, and possibly ever built.  L. Francis Herreshoff originally designed her with the intention of short handed, blue water sailing. In the 40+ yrs since she was built, Star has proven herself more than seaworthy. With one circumnavigation already under her keel, she has also made multiple Atlantic crossings and numerous trips between the Caribbean and New England. Star is quite the head turner, but then again what Herreshoff isn't? We look forward to sharing our adventures and passion for sailing here and on our other social media platforms. 
@sailingsvstar on Instagram

",2021-08-07,136,3,13,FALSE,FALSE
"UCgsTVmZXTKrnfXtxATXxUzQ","Sailing Triteia","My name is James and I have recently untied the lines for good and set off to start a slow circumnavigation of this big beautiful world. After 4+ years of refitting my 1965 Alberg 30 she is finally ready for some serious sailing. I spent much of the last 3 years exploring the islands of Southern California with my former wife Camille and our Australian cattle dog Mister Steady. Camille decided to pursue a different life and so now I am solo sailing and continuing to follow my dreams.

I recently completed my first solo ocean crossing from Los Angeles to Hawaii traveling 2300 nm. Spring of 2022 will find me bound for the South Pacific.

If you find value in the content of the channel and want to become a Patron you can for as little as $1 a video, thats only $4 a month!
https://www.patreon.com/sailorjames 

 PAYPAL: jamesthesailorman@gmail.com

Tracker and Blog: https://forecast.predictwind.com/tracking/display/Triteia

Thanks for watching!

Love,
James & The Good Ship Triteia
",2015-05-16,5440010,303,63600,FALSE,FALSE
"UCT7sjaZ0hqLPswOechiu_6A","Seawolf Living","Welcome to Seawolf Living, a hub where students can go to discover what's happening at Sonoma State University!",2014-08-12,57949,128,314,FALSE,FALSE
"UCkExLY1E6CE-GPsMCdSjmxQ","Sailing Yacht Florence","We are a British couple who set off in 2016 to sail around the world on our 37ft monohull. Thousands of miles and multiple oceans later, the adventure is still ongoing. Our videos document our adventures and life aboard as we travel the world full time on our sail boat Florence. Join us as we cross oceans, meet new cultures, find beautiful places and experience the highs and lows of the liveaboard lifestyle.

Florence is an Oyster Heritage 37, full boat tour here: https://youtu.be/OGuiKC53fds
Our dinghy is called The Machine, find out all about her here: https://youtu.be/XDf3zkRpdk0

",2012-10-21,12471347,127,102000,FALSE,FALSE
"UCV2Fi6MaXVLTPRHgQGw5KTA","Sailing SV ObLaDi","Sailing ObLaDi is the episodic journey of three friends taking on the challenge of a project yacht bought for just $1.00 USD. Obladi is a 1978 Formosa 51 which sank as a result of minor damage during Hurricane Dorian. After being refloated, the crew: Adam, Threshie, and Danny set out to repair and restore the boat. The boat is named for the Beatles Song, ObLaDi ObLaDa and even has two dinghy's: Desmond and Molly to complete the theme.

Currently, she is in need of quite a few items to get back into running condition. The damages range from minor hull and deck damage to a de-stepped mast and a seized engine. Damage to the bowsprit tore the decking off the bow and will require the building of a new foredeck. Follow along as we rebuild and eventually set sail for new adventures.",2020-04-10,1980,18,53,FALSE,FALSE
"UCzHQmOL_aZx9qMSeSHTUMaQ","SV Impavidus","Sailing, travel, boat maintenance and general entertainment for sailors and those that love to sail.",2017-10-29,626817,177,7220,FALSE,FALSE
"UCLowBPYd1BXtInGEUFShKQw","Sailing SV Mutiny","Shoestring backpackers and a toilet trained black cat with no idea about sailing buy a sailboat with their last savings.
www.themutinycrew.com",2014-06-26,25775,56,480,FALSE,FALSE
"UCWor4hXCq5VS4DcAlB5Fkpg","Sailing SV Easy","All about our sailing vessel EASY, a Swan 44 MKII, and our travels.
www.sveasy.de

Plus videos about Kitesurfing, Surfing, Skiing, Model Airplanes and Astronomy",2008-03-31,135333,75,580,FALSE,FALSE
"UC9bSLJTrzEnk-sQ1zrWy9Mg","Sailing SV Ladyhawk","C&C121 Ladyhawk sailing Santa Barbara channel",2015-06-10,90,3,1,FALSE,FALSE
"UCwLCAvLOOs5QoUm7M80_BBg","Sailing SV Senta","",2021-05-25,753,10,48,FALSE,FALSE
"UClLdMNCXY3tbn5uNSowdX_Q","Sailing SV Ocean Waves","Just a married couple sailing the Mediterranean on a 57 year old yacht called Ocean Waves ",2017-02-15,11,2,5,FALSE,FALSE
"UCM3yO1T4b44gIlSWc-XzC1g","The Sailing Family","Welcome aboard our family-friendly adventure! We are a family of five sailing around the world on our ""dream boat,"" a performance cruising catamaran named ""Archer!"" 

Ten years after sailing halfway around the world for their honeymoon, this family of five decided to quit the corporate life and do it all again, this time with three kids. In the summer of 2018 we sold everything we owned in California, bought our dream boat on the east coast of the US, and departed for a four year circumnavigation of the earth. We are sharing family-friendly videos of our adventures to journal our experiences (both good and bad) so we can remember and cherish these formative years with our boys. Two years and 20,000nm in, we've had more than our share of difficulties but we couldn't be any happier. Thanks for sailing by!
",2007-06-12,8066367,125,67100,FALSE,FALSE
"UC-nTzgx-CdjRUUiMh5lS67g","Sailing SV Lõkahi","The adventure begins for SV Lõkahi !!",2020-01-26,2126,12,20,FALSE,FALSE
"UCDCxZopebNN2u2MFDNf4eVA","Sailing SV Midnight Sun II","Sailing adventures of S/V Midnight Sun II and now Midnight Sun III
We share our sailing adventures - no frills in the videos: what we shoot is what you see.  We don't stage any shots or re-take anything.  
We have featured our transatlantic crossing on Midnight Sun III (Lagoon 40 Catamaran).  See the fun places that we travelled to on our maiden voyage of Midnight Sun III.
Watch our Bahamas videos
Watch our exciting race to Cuba (including our dismasting) on Midnight Sun II
",2012-11-14,5416,23,115,FALSE,FALSE
"UCQAxfHPudYkRoCrVrK0B9Aw","Sailing SV Tattoo","Based in Portland, OR and sailing the Northwest waters - traveling to tattoo you!

This channel is dedicated to building techniques, production shortcuts, and general style of tattoo machines. I mostly build liner machines as of late. Specifically the the T. Adams liner. I learn something every time I put one together, and they just get better and more consistent with time. I love the feel of a small liner in contrast to a large more substantial shader. This liner is light but has a long stroke and a fast running speed. The distance from the coil plate to the A-bar is very short, so it will fit any tube size. The coils are one inch tall, ten wrap cores. The A-bar is a standard 3/16 x 3/8 with no cut outs or holes. The tube vise is very practical and made to last without fatigue.",2011-10-16,234076,4,1000,FALSE,FALSE
"UCQA1r5AoTem8DCJvDVKaOCg","Sailing SV WIDE OPEN","Sailing the world in search of earths' most beautiful oceans",2016-08-20,2184,10,7,FALSE,FALSE
"UC32A7EUnIDbeWk_MEcSqMJg","SV Ramble On","Hello! We are Jeni & Rich VanDusen, a couple of newbie do-it-yourselfer liveaboards and future travelers. A few years ago we sold a bunch of stuff and bought an old (but sturdy) Tayana 37 sailboat. We've been living aboard since September 2013 all while doing MAJOR work on the boat and working full-time. Our goal is not to create the perfect boat (which doesn't exist), but to fix and upgrade our boat to suit us and what we want to do...which is travel! We're real hands-on type of people and Rich is seriously talented when it comes to fixing and making nearly anything, so most of our videos are about projects on which we're working. Future videos will be about sailing and travel, but for now, if you're looking for information on how to rewire your old boat, build a bowsprit, or even how to retrieve that halyard you lost up the mast, chances are we've done it!

You can learn a lot more about projects we've done at https://svrambleon.com",2016-12-20,405221,149,3730,FALSE,FALSE
"UCaKmXwgZdVGawdhri3AT4CQ","Sailing SV Tesla","Hello there, and welcome to my channel. Here for the time being you will see some short videos of me looking for boats and footage of a trip I went on with Tim on Lady K this past June. We sailed from St. Augustine FL to Annapolis MN. Thanks for watching and please be sure to ""like"", ""comment"" and ""subscribe"" so you can continue to follow along. And if you totally think my content is awesome then be sure to hit the ""bell"" icon next to the subscribe button and you will receive a notification anytime I post a video on YouTube. Have fun, be safe and KEEP ON SAILIN ON! cheers RJ",2014-08-10,1251,13,72,FALSE,FALSE
"UCpze9jiD6VLZvy606ck0mvw","Sailing Too Short","Just a couple of mid 30s kids with an adventurous spirit and determination to find something more in life. Decided to leave the corporate job, sell our small business, and set sail. Not sure if this is a retirement or a small break during a mid(ish) life crisis, but we had to take the chance now and see where it takes us. Seems like this life style and journey is too epic not to share our story. Subscribe and join us on this adventure!",2019-05-10,545984,111,6970,FALSE,FALSE
"UCBl69MPl-SyfPPo9WxchQJQ","Sailing SV Gadabout","Sailing vessel gadabout is a 84' don brooks custom cruising ketch pilot house.
1983 model built in New Zealand at quality yachts.
She was built to cruise the world in comfort.

5 rooms with 5 on suit heads.
designed to carry 6 crew and 6 guests.

Main engine is a detroit 6-71 inline 6 cylinder 2 stroke diesel.
2 Cummins 21.5 kw diesel generators run all the electricity.
24v life line batteries (20 12v 8D 255ah)with 2550 @ 24v amp hours of capacity.
2 schneider electric 3400 watt inverters ran in parallel.
She carries 2800 gallon of diesel 1000 gallons of fresh water.
3300 watts of solar managed by 3 schnider 60 mppt controllers integrated in to the inverters.
matrix water maker with CAT 277 pump 2 2.5"" x 40"" membrane that produces 33 gallons an hour.

please post all pictures and videos relevant to the boat on the page!
thanks for watching.",2020-11-22,326,1,38,FALSE,FALSE
"UC2yCsF-ddL9-VvNB82iHw5Q","Sailing SV Falkor","Sailing SV Falkor. The story of two friends on a Neverending Journey. 
Casting off on a 1977 Trintella IV to sail around the world, with the hope of losing and finding ourselves. 
See the whole journey, from the first upgrades to the boat in the south of Portugal to... somewhere.",2019-09-27,50,1,10,FALSE,FALSE
"UC6TjKCGSoX1aqsDXFFEf5mg","Sailing SV Lynx","Welcome!   S/V Lynx will be about the voyages of Captain Blood and crew sailing our large catamaran, S/V Lynx, around the world while visiting over 110 countries, territories, etc.  The crew compliment will vary at times, though there will be some permanent crew on board as well.  On the way, there will be videos about scuba diving, kite sailing, touring exotic shores, food, culture, and all kinds of different adventures.   

Before that voyage, we will take you on a the journey of either buying a used cat and then doing a major refit, or building a kit catamaran ourselves.  The decision on how we will obtain our blue water capable catamaran will be made this year.  If you go to our website there is a countdown timer to that decision day.  So, don't miss out on the fun, join us for the beginning of this adventure, and maybe, even join us on the voyage as crew!  The videos of the adventure will begin in 2022 and come out weekly after thereafter.  So, hit the subscribe and bell icon!",2018-03-19,10612,6,125,FALSE,FALSE
"UCJ4qS5wGwFBUYs0vO_pm_XA","Sailing SV Bella Vita","We are Scott and Silva Sidoti. We live aboard our 1991 Morgan 44 Center Cockpit sailboat. This YouTube channel and our website, svbellavita.com will document the process of moving from a traditional lifestyle in a house to living aboard our boat at a marina, learning, sailing Galveston Bay and the occasional ocean sail when we can. We are relatively new to sailing having started on Lake Travis in Austin with a Hunter 23 in 2012. We moved to Houston and moved up to a Hunter 31. We love the lifestyle and bought a boat we could live on and ocean sail eventually. We hope to also show people you can start later in life and still learn to sail oceans. We were in our 50s then and not getting any younger but hopefully wiser. We're doing all the necessary upgrades to the boat over a two to three year period. Once we start cruising we'll be documenting that. ",2021-06-27,34,1,3,FALSE,FALSE
"UC8EVKUkQ40VSHasfCwBDIAg","Sailing SV Pardon My French","Sail in the Pacific Northwest aboard Pardon My French.  We explore Puget Sound, the Salish Sea, and British Columbia, and sometimes travel offshore for passages with friends to get a fix of the open ocean.   

The ""new"" SV Pardon My French is a 2006 Jeanneau Sun Odyssey 45.  Stay tuned for new adventures.  The previous Pardon My French, featured in most of the videos on this channel,  was a 1993 40.5 Hunter Legend.  We took her cruising and racing.  She was not even close to being the fastest but was never afraid to go rumble with the big guys. What she lacked in speed, she gave in spirit, and in stride -- we (lovingly and respectfully) pushed the 25-year-old girl hard and she loved it and bring us many smiles and memories.

Read about the origin of the expression Pardon My French https://en.wikipedia.org/wiki/Pardon_my_French

Thanks for visiting.

Feel free to reach out!

Frederick
SV Pardon My French
Seattle, WA

PS: SV = Sailing Vessel - some of you asked :)
",2006-06-13,179039,87,708,FALSE,FALSE
"UC-RDC0OYkG0YvT9w34K2hug","Sailing Tranquilo","Join us as we sail the world!",2015-09-23,1664282,96,17400,FALSE,FALSE
"UCidzQ7DgSRvN1zCvFJEPWSA","Sailing in 360 by SV Delos","",2017-11-09,6769,2,995,FALSE,FALSE
"UCv3C8JO7vzfAZeF6ie5dfZA","SV Tapatya","Hi, I'm Tony and this is the story of the build from scratch of a Jay Benford designed, 31.8 ft junk-rigged schooner sailing dory. The videos will trace the construction of this cruising sailboat from the first concepts through to the completion of the build. We'll show the methods of construction and the theory behind some of the choices of materials used, as the boat takes shape to become the home and travelling vessel that she will be. 

On completion, the videos will continue to actually show how the vessel and various materials used perform, also recording the locations, wildlife and people we encounter as we travel in our newly-build small home.

This is an exciting journey, with much to look forward to. Please subscribe, follow, watch and see how we get on!",2013-05-03,1236476,241,8100,FALSE,FALSE
